#,dealership_id,name,state,zipcode,type,rsm_id,rsm_first_name
72,78,Xtreme Motorcycle Group - Washington County,PA,15323,oem_franchise_partnered,4764,Kevin
73,79,Gatto Cycles,PA,15084,oem_franchise_partnered,4764,Kevin
74,80,Bartlett's Motorcycle and ATV,TX,77708,independent,3674,Diana
75,81,Walls Equipment,IN,47167,oem_franchise_partnered,4764,Kevin
76,82,Leadbelt,MO,63601,oem_franchise_partnered,8331,Brandon
77,83,Hattiesburg Cycles,MS,39401,oem_franchise_partnered,4613,Jay
78,84,DP TRACTOR SALES,NC,27263,oem_franchise_partnered,5848,Chris
79,85,Fun Motors of Longview,TX,75605,oem_franchise_partnered,3674,Diana
80,86,FIVE STAR POWERSPORTS BEDFORD COUNTY LLC,PA,15537,oem_franchise_partnered,4764,Kevin
81,87,Parcs New Hollande,WV,26426,independent,4613,Jay
82,88,Indian Motorcycle of Fort Hood,TX,76548,oem_franchise_partnered,3674,Diana
83,89,Sullys Auto,TX,75901,independent,3674,Diana
84,90,Mission City Indian,TX,78006,oem_franchise_partnered,3674,Diana
85,91,CJs Motorsports,NC,28358,oem_franchise_partnered,5848,Chris
86,92,Demotto Yamaha,WV,26241,independent,4613,Jay
87,93,Yocums,PA,17847,oem_franchise_partnered,4764,Kevin
88,94,Motts Motorsports,NC,28144,oem_franchise_partnered,5848,Chris
89,95,SYNERGY MOTORWORKS,OK,74145,oem_franchise_partnered,3674,Diana
90,96,Hall's Motorsports - Crestview,FL,32536,oem_franchise_partnered,5848,Chris
91,97,Preston Powersports,WV,26537,oem_franchise_partnered,4613,Jay
92,98,(Disabled) J and J Watercraft,DE,19805,oem_franchise_partnered,4764,Kevin
93,99,RUHNKES XTREME CYCLES,TX,79765,oem_franchise_partnered,3674,Diana
94,100,380 Trailers,TX,75407,independent,3674,Diana
95,102,Montgomery Powersports-Montgomery,AL,36117,oem_franchise_partnered,4613,Jay
96,103,J and B Honda,PA,17815,oem_franchise_partnered,4764,Kevin
97,104,Coleman Motors,MS,38663,independent,4613,Jay
98,105,SCHAEFFERS Motorsports,PA,17961,oem_franchise_partnered,4764,Kevin
99,106,Big Country Powersports,KY,42104,oem_franchise_partnered,4613,Jay
100,107,Chicago Motoworks,IL,60608,oem_franchise_partnered,4764,Kevin
101,111,EAGLERIDER OF SAN FRANCISCO,CA,94103,independent,11499,Matt
102,112,iMotorsports Orlando,FL,32809,oem_franchise_partnered,5848,Chris
103,113,EAGLERIDER OF NEW ORLEANS,LA,70119,independent,4613,Jay
104,114,Harley Davidson of Dallas,TX,75013,oem_franchise_partnered,3674,Diana
105,115,RideNow - Peoria,AZ,85381,oem_franchise_partnered,8331,Brandon
106,116,Arrowhead Harley-Davidson,AZ,85382,oem_franchise_partnered,8331,Brandon
107,117,Chandler HD,AZ,85226,oem_franchise_partnered,8331,Brandon
108,119,S&N Motorsports,FL,33953,oem_franchise_partnered,5848,Chris
109,120,SCHRONCE POWERSPORTS,NC,28681,oem_franchise_partnered,5848,Chris
110,121,Superbikes of Dallas,TX,75098,independent,3674,Diana
111,122,"PEARL RIVER HOME & AUTO, LLC",LA,70452,oem_franchise_partnered,4613,Jay
112,123,Club Riders USA - Edmond,OK,73013,independent,3674,Diana
113,124,Tampa Bay Autos,FL,33610,independent,5848,Chris
114,125,Woodlake Hardware,CA,93286,independent,11499,Matt
115,126,(Disabled) Vespa Sherman Oaks,CA,91423,oem_franchise_partnered,11499,Matt
116,127,WALKER POWER PLUS INC,MS,39402,independent,4613,Jay
117,128,Exxxtreme Cycles,TX,78576,oem_franchise_partnered,3674,Diana
118,129,Pro Marine NC,NC,27707,oem_franchise_partnered,5848,Chris
119,130,Augusta ATV,SC,29860,oem_franchise_partnered,5848,Chris
120,131,Texas Harley-Davidson,TX,76021,oem_franchise_partnered,3674,Diana
121,132,Florida Box Truck Sales,FL,32207,independent,5848,Chris
122,133,CYCLE EXCHANGE Tampa,FL,33613,oem_franchise_partnered,5848,Chris
123,134,Austin Boats and Motors,TX,78734,oem_franchise_partnered,3674,Diana
124,135,RIEDLE INC,IL,62441,oem_franchise_partnered,4764,Kevin
125,136,RE-CYCLE SALES,TX,75134,independent,3674,Diana
126,137,Cycle Exchange Atlanta,GA,30080,independent,5848,Chris
127,138,Omni Powersports,PA,18070,independent,4764,Kevin
128,139,Lime Stone,AL,35611,independent,4613,Jay
129,140,El Dorado Cycle,MO,64744,oem_franchise_partnered,8331,Brandon
130,141,RC Hill Honda,FL,32720,oem_franchise_partnered,5848,Chris
131,142,Halo Autosports,FL,34613,oem_franchise_partnered,5848,Chris
132,143,(Disabled) Prestige Motoring Inc,CA,92121,independent,11499,Matt
133,144,CSC Motorcycle,CA,91702,independent,11499,Matt
134,145,Longhorn HD,TX,75052,independent,3674,Diana
135,146,BEST LINE POWERSPORTS (Muncy),PA,17756,oem_franchise_partnered,4764,Kevin
136,148,Wheels N Motion,IN,46774,independent,4764,Kevin
137,149,Harley-Davidson of Greenville,SC,29615,oem_franchise_partnered,5848,Chris
138,150,2 WHEEL HEAVEN,AL,35125,oem_franchise_partnered,4613,Jay
139,151,Moto Sage,TX,79901,independent,3674,Diana
140,152,Acme Motorsports,CO,80909,independent,8331,Brandon
141,153,Dowden Motorsports,TN,38053,independent,4764,Kevin
142,154,IRON HORSE SALES & SERVICE,LA,70535,oem_franchise_partnered,4613,Jay
143,155,MIDWEST CYCLE CENTER,MO,65721,independent,8331,Brandon
144,156,Scenic,FL,32043,oem_franchise_partnered,5848,Chris
145,157,LIttle River,NC,28356,oem_franchise_partnered,5848,Chris
146,158,YOUNGBLOOD POWERSPORTS,MO,65721,oem_franchise_partnered,8331,Brandon
147,159,Neal Ketner Motors,NC,27103,independent,5848,Chris
148,160,Boomland,MO,63736,independent,8331,Brandon
149,161,Icon Motors,VA,23464,independent,4613,Jay
150,162,Xtreme Machines NJ,NJ,08535,oem_franchise_partnered,4764,Kevin
151,163,Honda Direct Line,OH,43906,independent,4764,Kevin
152,164,Traders Motorsporst,FL,33850,oem_franchise_partnered,5848,Chris
153,166,Kleiber Tractor,TX,78945,oem_franchise_partnered,3674,Diana
154,167,Brooks Powersports,PA,17028,oem_franchise_partnered,4764,Kevin
155,168,Commonwealth Powersports,VA,23875,oem_franchise_partnered,4613,Jay
156,169,Citizens Auto Credit,OH,45102,independent,4764,Kevin
157,170,Veys Powersports - El Cajon,CA,92021,oem_franchise_partnered,11499,Matt
158,171,American Powersports - Cleveland,OH,44146,oem_franchise_partnered,4764,Kevin
159,172,No Limit Carts,TN,37764,oem_franchise_partnered,4764,Kevin
160,173,Graves Cycle,MS,39667,oem_franchise_partnered,4613,Jay
161,174,Catalyst Cycles,TN,37167,independent,4764,Kevin
162,175,Waco Motorsports,TX,76710,oem_franchise_partnered,3674,Diana
163,176,Spirit Motorcycles,CA,95126,oem_franchise_partnered,11499,Matt
164,177,Tek Motorsports,TX,79936,independent,3674,Diana
165,178,iMotorsports - Elmhurst,IL,60126,oem_franchise_partnered,4764,Kevin
166,179,Outlaw Cycles,LA,70433,independent,4613,Jay
167,180,Brighton Harley-Davidson/Triumph,MI,48116,oem_franchise_partnered,4764,Kevin
168,181,Accent Golf Carts,VA,23188,oem_franchise_partnered,4613,Jay
169,182,JDM Powersports,GA,30260,independent,5848,Chris
170,183,Hebeler,NY,14094,oem_franchise_partnered,4764,Kevin
171,184,RCP Powersports,TX,78704,independent,3674,Diana
172,186,Camano Marine,WA,98282,oem_franchise_partnered,11499,Matt
173,187,Filers Powersports,NY,14502,oem_franchise_partnered,4764,Kevin
174,188,Haps Cycles,FL,34234,oem_franchise_partnered,5848,Chris
175,189,Onyx Moto,CA,92111,independent,11499,Matt
176,190,Lake Hill Motors,MS,38834,oem_franchise_partnered,4613,Jay
177,191,Piston Society,OH,45202,oem_franchise_partnered,4764,Kevin
178,193,CORPUS CHRISTI CYCLE SPORTS INC,TX,78405,oem_franchise_partnered,3674,Diana
179,194,DE TWINCAM PERFORMANCE INC,NY,14043,oem_franchise_partnered,4764,Kevin
180,195,123MOTORCYCLES PLUS INC,CA,92084,independent,11499,Matt
181,196,First Community Bank,VA,24605,independent,4613,Jay
182,197,Cirrus Outdoor Equipment-White House,TN,37188,oem_franchise_partnered,4764,Kevin
183,198,380 Motorsports,TX,76234,oem_franchise_partnered,3674,Diana
184,199,3B Upfit,TX,76273,independent,3674,Diana
185,200,6V SALES & SERVICE LLC,PA,16701,oem_franchise_partnered,4764,Kevin
186,201,91 Motorsports,CA,90746,independent,11499,Matt
187,202,A & L RV Sales,TN,37601,independent,4764,Kevin
188,203,A-1 Mower Sales,FL,34601,independent,5848,Chris
189,204,A's Lawn & Land LLC-Lacon,IL,61540,oem_franchise_partnered,4764,Kevin
190,205,ACT Automotive,IL,62839,oem_franchise_partnered,4764,Kevin
191,206,Active Tractor,AL,35085,oem_franchise_partnered,4613,Jay
192,207,Adrian Farm Supply,OK,74464,oem_franchise_partnered,3674,Diana
193,208,Advantage Ag & Equipment,OH,43050,oem_franchise_partnered,4764,Kevin
194,209,Adventure PS Corp,FL,33122,independent,5848,Chris
195,210,Ag Parts Supply - Cleveland GA,GA,30547,oem_franchise_partnered,5848,Chris
196,212,All Roads Capital,OH,44451,independent,4764,Kevin
197,213,ALL SEASONS LANDSCAPING,MI,48111,oem_franchise_partnered,4764,Kevin
198,214,Alma Tractor,AR,72921,oem_franchise_partnered,4613,Jay
199,216,Hardin Rentals & Sales,NC,28043,oem_franchise_partnered,5848,Chris
200,217,American Trailer Mart,MI,48328,independent,4764,Kevin
201,218,American V-Twin,CA,92590,independent,11499,Matt
202,219,Angione's Powersports-NPA,PA,18058,independent,4764,Kevin
203,220,AP Venture Inc.,WI,54467,oem_franchise_partnered,4764,Kevin
204,221,Apex Motor Sports Group,SC,29108,independent,5848,Chris
205,222,Apex Sports,CO,80903,oem_franchise_partnered,8331,Brandon
206,223,Appalachian Offroad,WV,25313,oem_franchise_partnered,4613,Jay
207,224,Arizona Motors dba Renli Southwest,AZ,86406,oem_franchise_partnered,8331,Brandon
208,225,Arnold Motor Co,PA,15342,oem_franchise_partnered,4764,Kevin
209,226,Cycle Warehouse,PA,16001,independent,4764,Kevin
210,227,Asmus Auto Sales,WY,82240,oem_franchise_partnered,8331,Brandon
211,228,ATHENS TRACTOR & EQUIPMENT LLC,TX,75752,oem_franchise_partnered,3674,Diana
212,229,"ATV Scooter Store, Inc DBA Nitro Powersports",TX,75234,independent,3674,Diana
213,230,West Georgia Golf Carts Carrollton,GA,30117,oem_franchise_partnered,5848,Chris
214,231,ATV World,OH,44442,independent,4764,Kevin
215,232,Aztec Equipment Sales,AZ,85249,independent,8331,Brandon
216,233,B & B Industries Inc,OH,43146,oem_franchise_partnered,4764,Kevin
217,234,Bad Boy Josh,TX,76310,oem_franchise_partnered,3674,Diana
218,236,"Bakken Repair and Sales, LLC",MN,56162,oem_franchise_partnered,8331,Brandon
219,237,Baldwin Unlimited Inc,NJ,08534,oem_franchise_partnered,4764,Kevin
220,238,Bartonville Equipment,IL,61607,independent,4764,Kevin
221,239,dupe394,AR,72476,independent,4613,Jay
222,240,BCS Performance,MA,01089,independent,4764,Kevin
223,241,BEASLEY POWER EQUIPMENT,NC,28681,oem_franchise_partnered,5848,Chris
224,242,Belmont Equipment,MS,39054,independent,4613,Jay
225,243,Benson Motor Works,MI,49870,oem_franchise_partnered,4764,Kevin
226,244,Beverly Hills Motors,FL,34787,independent,5848,Chris
227,245,Big Dog Rentals & Sales,IN,47978,oem_franchise_partnered,4764,Kevin
228,246,Taylor Rental,FL,34972,oem_franchise_partnered,5848,Chris
229,249,"Biker's Outfitter, Inc",MA,02151,oem_franchise_partnered,4764,Kevin
230,250,Blackburn Recreation & Supply,UT,84715,oem_franchise_partnered,11499,Matt
231,251,Bluff Powersports,MO,63901,oem_franchise_partnered,8331,Brandon
232,252,Bobcat of Kane,PA,16735,independent,4764,Kevin
233,253,Bobcat of Lafayette,IN,47909,oem_franchise_partnered,4764,Kevin
234,254,"Bonehead Offroad, LLC",AR,72143,independent,4613,Jay
235,255,Bourland Landscape Supplies & Outdoor Power Equipment,TX,76513,oem_franchise_partnered,3674,Diana
236,256,Boyle Lumber Company,MS,38730,oem_franchise_partnered,4613,Jay
237,257,Braaap Shop,IL,61342,independent,4764,Kevin
238,258,Brewer Cycles,NC,27537,oem_franchise_partnered,5848,Chris
239,259,"Brigadoon KOC, Inc",IN,46808,independent,4764,Kevin
240,260,Brim Tractor Company,OR,97301,oem_franchise_partnered,11499,Matt
241,261,Broadway Powersports,TX,75703,oem_franchise_partnered,3674,Diana
242,262,Brookfield Auto Sales,MO,64628,oem_franchise_partnered,8331,Brandon
243,263,(Disabled)Brown Outdoor Company,MO,63841,oem_franchise_partnered,8331,Brandon
244,264,Brown Crow Farms,OK,73150,oem_franchise_partnered,3674,Diana
245,265,Brown Motor Cars,IA,50313,oem_franchise_partnered,8331,Brandon
246,266,BRUNO'S POWERSPORTS LLC,AR,72023,oem_franchise_partnered,4613,Jay
247,267,Brushy Mountain Powersports,NC,28697,oem_franchise_partnered,5848,Chris
248,268,Buckeye Valley Outdoors,OH,45769,oem_franchise_partnered,4764,Kevin
249,269,Burris Farm & Home,TX,75939,oem_franchise_partnered,3674,Diana
250,270,Busch's Chop Shop,PA,16201,independent,4764,Kevin
251,271,C & C Rental,AL,35968,oem_franchise_partnered,4613,Jay
252,272,C & W Farm Supply,KS,66939,oem_franchise_partnered,8331,Brandon
253,273,Cabela's Bristol,VA,24201,oem_franchise_partnered,4613,Jay
254,274,Causeway Mowers,FL,32937,oem_franchise_partnered,5848,Chris
255,275,CD Farley,WV,25918,oem_franchise_partnered,4613,Jay
256,276,Central New Holland,OK,73128,oem_franchise_partnered,3674,Diana
257,277,Hendrix Supply,TX,77351,oem_franchise_partnered,3674,Diana
258,278,"Championship Powersports, Inc",OH,43567,oem_franchise_partnered,4764,Kevin
259,279,Chapman's Auto,OK,74070,independent,3674,Diana
260,280,"Chauvin Bros. Tractor, Inc",LA,70037,oem_franchise_partnered,4613,Jay
261,281,Chicago Cycles & Motorsports,IL,60165,independent,4764,Kevin
262,282,CMS SMALL ENGINES LLC,MS,39730,oem_franchise_partnered,4613,Jay
263,283,Gray Area KTM,OR,97477,oem_franchise_partnered,11499,Matt
264,284,"Cole's Tractor & Equipment, Inc",MO,63640,oem_franchise_partnered,8331,Brandon
265,285,Teddys Lawnmower Sales and Service,TN,37398,oem_franchise_partnered,4764,Kevin
266,286,Affordable Small Engine and Repair,AR,72703,oem_franchise_partnered,4613,Jay
267,288,Compact Tractors of Idaho,ID,83442,independent,11499,Matt
268,289,County KK Tire,WI,53566,oem_franchise_partnered,4764,Kevin
269,290,"Cowtown USA, Inc",MO,65453,oem_franchise_partnered,8331,Brandon
270,291,Cox Implement - Hoxie,AR,72433,oem_franchise_partnered,4613,Jay
271,292,"Crowe's Motorcycle Company, LLC",MI,49014,independent,4764,Kevin
272,293,Custom Bill's Motorcycle Sales,TX,75060,independent,3674,Diana
273,294,Cycle & Marine Supercenter,AR,71603,oem_franchise_partnered,4613,Jay
274,295,Cycle City-Rochester,MN,55904,oem_franchise_partnered,8331,Brandon
275,296,Cyclemax (MD),MD,20879,oem_franchise_partnered,4613,Jay
276,297,Midwest Sports Center - Poplar Bluff,MO,63901,oem_franchise_partnered,8331,Brandon
277,298,D & L Equipment,IA,50448,oem_franchise_partnered,8331,Brandon
278,299,D & W Lawn Equipment,TX,77568,oem_franchise_partnered,3674,Diana
279,300,D Squared Trials,TX,79118,oem_franchise_partnered,3674,Diana
280,301,D&A Sales,MO,65536,independent,8331,Brandon
281,302,"D. Days Lawn And Garden Equipment, LLC",FL,32132,oem_franchise_partnered,5848,Chris
282,303,Davis Farm Supply,MO,63775,oem_franchise_partnered,8331,Brandon
283,304,Dead End Cycles,OH,43512,independent,4764,Kevin
284,305,Dean's Fix All,IN,46112,independent,4764,Kevin
285,306,Motorcycle Depot,CO,80011,independent,8331,Brandon
286,307,Dick's Boat Shop,UT,84015,oem_franchise_partnered,11499,Matt
287,308,"Dillard & Dillard Motor Co, LLC Ash Flat",AR,72513,oem_franchise_partnered,4613,Jay
288,309,Dixie Trailer Works,AL,36352,oem_franchise_partnered,4613,Jay
289,310,DSR Sales Inc dba Duffy's Sales and Rental,WI,54812,oem_franchise_partnered,4764,Kevin
290,311,REP Rents,KY,40065,oem_franchise_partnered,4613,Jay
291,312,Edgewood Saw & Supply,IA,52042,oem_franchise_partnered,8331,Brandon
292,313,EMX Powersports,LA,71292,independent,4613,Jay
293,314,Extreme Outdoor - Booneville,MS,38829,oem_franchise_partnered,4613,Jay
294,315,Sport Specialties,ND,59703,oem_franchise_partnered,8331,Brandon
295,316,FAIRWAY SPORTS VEHICLES,TX,76571,oem_franchise_partnered,3674,Diana
296,317,Faith Cycles,TX,77301,independent,3674,Diana
297,318,Farm King Supply,IL,61401,oem_franchise_partnered,4764,Kevin
298,319,Faxon Outdoor Power,KY,42101,oem_franchise_partnered,4613,Jay
299,320,Finish Line Motors Used Auto Sales & Powersports,WV,26508,oem_franchise_partnered,4613,Jay
300,321,Eastern Power Equipment LLC,NY,11560,oem_franchise_partnered,4764,Kevin
301,322,First Choice Farm & Lawn - Union City,TN,38261,oem_franchise_partnered,4764,Kevin
302,323,Flex Trailers,KS,66756,independent,8331,Brandon
303,324,Frank's Power Equipment,GA,30401,oem_franchise_partnered,5848,Chris
304,325,Fredrick's Equipment,AL,35640,oem_franchise_partnered,4613,Jay
305,326,Fun For All Motorsports,KY,42701,oem_franchise_partnered,4613,Jay
306,327,Garland Bad Boy Mowers,KY,42241,independent,4613,Jay
307,328,Gary Smith Spartan Intimidator of SE Arkansas,AR,71655,oem_franchise_partnered,4613,Jay
308,329,Glen Burnie Motorsports,MD,21060,oem_franchise_partnered,4613,Jay
309,330,Godfather's Powersports dba DK Motors,AR,72601,independent,4613,Jay
310,331,Golden Motors,SC,29212,oem_franchise_partnered,5848,Chris
311,332,Golden Valley Motorsports,MO,64739,independent,8331,Brandon
312,333,Goose Creek Hardware & Motorsports,MO,63036,independent,8331,Brandon
313,334,Gore True Value,FL,32234,independent,5848,Chris
314,335,Green Repair,IA,52161,oem_franchise_partnered,8331,Brandon
315,336,Green Valley Turf Equipment dba Wilkins Saw & Power Equipment,OR,97914,independent,11499,Matt
316,337,"Greenville Sports & Imports, Inc",NC,27834,oem_franchise_partnered,5848,Chris
317,338,Gresham Powersports,OR,97030,oem_franchise_partnered,11499,Matt
318,339,Grove Equipment Service - Plant City,FL,33563,oem_franchise_partnered,5848,Chris
319,340,Gusta's Outdoor Power Equipment,SC,29420,oem_franchise_partnered,5848,Chris
320,341,"H & R Powersports, LLC",FL,33764,independent,5848,Chris
321,342,H.E.I. sideXside UTVs,ME,04864,independent,4764,Kevin
322,343,Hartbauer Auto Sales,CO,81252,independent,8331,Brandon
323,344,HARRINGTON'S LAWN & POWER,MI,48821,oem_franchise_partnered,4764,Kevin
324,345,Harrison Powersports,MI,48625,oem_franchise_partnered,4764,Kevin
325,346,"Heartland Energy USA, LLC",OH,43557,oem_franchise_partnered,4764,Kevin
326,348,Herman's Mobile Service,MI,49682,oem_franchise_partnered,4764,Kevin
327,349,Hide-A-Way Harbor,AL,35453,oem_franchise_partnered,4613,Jay
328,350,Highway 191 MotorSports,NC,28806,independent,5848,Chris
329,351,Home Town Auto Center,NC,28613,independent,5848,Chris
330,352,Hometown RVs,WV,25909,independent,4613,Jay
331,353,Honda of Tyler,TX,75709,oem_franchise_partnered,3674,Diana
332,354,Horn's Outdoor Hot Springs,AR,71913,oem_franchise_partnered,4613,Jay
333,355,House of Cycles,LA,71292,oem_franchise_partnered,4613,Jay
334,356,House of Wheels Great Falls,MT,59405,oem_franchise_partnered,8331,Brandon
335,357,How We Roll Motorsports - Adkins,TX,78101,oem_franchise_partnered,3674,Diana
336,358,Huddleston Equipment Sales,AL,36278,oem_franchise_partnered,4613,Jay
337,359,Hurst Equipment,GA,31771,oem_franchise_partnered,5848,Chris
338,360,Independence County Off Road,AR,72501,oem_franchise_partnered,4613,Jay
339,361,Infinity Supply Co,IL,62837,oem_franchise_partnered,4764,Kevin
340,362,Inland ATV,CA,92354,independent,11499,Matt
341,363,Integrity Automotive,AR,72764,independent,4613,Jay
342,364,Jake's Sales and Service,WI,54114,oem_franchise_partnered,4764,Kevin
343,365,RVZZ,UT,84780,oem_franchise_partnered,11499,Matt
344,366,Jersey Shore Powersports,NJ,77480,oem_franchise_partnered,4764,Kevin
345,367,Jess Anderson Equipment,TX,78263,independent,3674,Diana
346,368,Jonesboro Tractor,AR,724040,oem_franchise_partnered,4613,Jay
347,369,Junior ATV/ Fun Factory Racing,NJ,08270,independent,4764,Kevin
348,370,K & G Mowers and Equipment,TX,75460,oem_franchise_partnered,3674,Diana
349,371,Killduff Supply Co,IA,50251,oem_franchise_partnered,8331,Brandon
350,372,KLAMATH BASIN EQUIPMENT INC.-Klamouth Falls,OR,97603,oem_franchise_partnered,11499,Matt
351,373,Knobby Shop South,CA,92532,independent,11499,Matt
352,374,La Moto Washington,VA,22201,oem_franchise_partnered,4613,Jay
353,375,Farmers Implement-Allenton,WI,53002,oem_franchise_partnered,4764,Kevin
354,376,Marks Custom Cycles,CA,93003,oem_franchise_partnered,11499,Matt
355,377,Lang Equipment Marshfield,WI,54449,oem_franchise_partnered,4764,Kevin
356,378,Langdon Outdoor,TX,75460,oem_franchise_partnered,3674,Diana
357,379,Langdon Polaris,TX,75501,oem_franchise_partnered,3674,Diana
358,380,Tyler Sport,TX,75703,oem_franchise_partnered,3674,Diana
359,385,"Legally Muddy, LLC",VA,22406,independent,4613,Jay
360,386,Leonard Truck & Trailer,OH,44451,independent,4764,Kevin
361,388,Lone Star Mower Repair,TX,76028,oem_franchise_partnered,3674,Diana
362,389,(Disabled) Lost River Powersports,KY,42101,oem_franchise_partnered,4613,Jay
363,390,TG Mow Shop,GA,39828,oem_franchise_partnered,5848,Chris
364,391,Lucky B Trailers,VA,22727,independent,4613,Jay
365,392,Luke's RV Sales,LA,70615,independent,4613,Jay
366,393,"Lynchburg Kawasaki Yamaha, Inc (Virgil Naff)",VA,24501,oem_franchise_partnered,4613,Jay
367,394,Mark Martin Chevrolet,AR,72556,independent,4613,Jay
368,395,"Matto Cycle, Inc",PA,17901,oem_franchise_partnered,4764,Kevin
